Data_(Mes/Ano),Area_Desmatada_km2_Mes (Y),Preco_Soja (X1),Preco_Boi_Gordo (X2),Preco_Ouro (X3),Precipitacao_mm (X4),Focos_Queimada (X5),Num_Atuacoes (X6)
08/2015,592.04,347.02,141.26,131.95,4.39,20471,1771
09/2015,497.19,323.55,143.67,141.47,7.28,29326,1828
10/2015,536.35,327.41,147.51,141.58,48.72,19469,1765
11/2015,302.77,319.08,148.52,132.30,102.43,16935,1452
12/2015,266.29,323.31,146.88,135.05,75.83,11303,929
01/2016,228.80,323.20,149.54,143.63,343.16,4657,672
02/2016,114.98,320.12,154.0,159.80,96.70,1559,542
03/2016,300.05,326.93,155.8,142.29,288.98,2024,570
04/2016,439.92,353.80,157.39,142.84,115.53,1075,679
05/2016,408.01,388.51,154.38,141.00,40.95,895,866
06/2016,951.13,421.22,156.67,136.52,30.70,1663,1075
07/2016,739.46,390.40,155.59,141.00,1.60,6120,1471
08/2016,1024.95,370.31,150.65,135.74,14.67,18340,1583
09/2016,691.15,355.90,150.08,137.86,61.69,20460,1767
10/2016,749.78,358.38,151.33,130.91,79.52,14234,1664
11/2016,366.99,368.37,149.89,127.54,101.71,11610,1446
12/2016,16.15,375.28,149.32,120.43,144.34,5124,992
01/2017,58.28,379.59,148.39,122.62,163.58,796,702
02/2017,101.23,380.87,144.99,124.78,341.48,379,598
03/2017,74.13,366.09,143.33,125.37,288.33,736,559
04/2017,126.85,347.86,136.8,129.43,177.00,618,675
05/2017,363.48,350.18,136.07,131.53,38.28,805,844
06/2017,608.50,339.72,128.66,131.94,17.28,1759,1062
07/2017,457.53,365.45,124.5,127.54,0.23,7986,1290
08/2017,277.62,345.41,133.71,133.73,38.80,21244,1594
09/2017,402.56,353.86,143.47,130.01,8.18,36569,1721
10/2017,439.52,358.27,140.78,133.74,107.54,14457,1649
11/2017,354.09,361.40,141.0,134.08,179.89,14105,1282
12/2017,287.51,357.15,145.23,138.69,282.32,7985,948
01/2018,182.58,356.86,146.53,137.73,290.80,1444,599
02/2018,146.32,371.23,145.09,137.50,422.13,888,590
03/2018,356.58,381.89,144.8,140.67,307.33,1359,581
04/2018,489.52,381.26,143.16,148.25,226.17,513,620
05/2018,549.88,374.84,140.59,155.34,81.84,772,821
06/2018,488.18,339.85,138.53,156.07,0.55,1980,909
07/2018,596.27,312.56,141.72,147.72,10.35,4788,1280
08/2018,525.9,316.65,144.81,156.52,68.13,10421,1637
09/2018,745.99,306.43,149.68,155.08,94.88,24803,1708
10/2018,526.16,315.85,148.56,145.28,156.16,10654,1611
11/2018,276.85,322.28,146.26,151.88,238.94,8881,1272
12/2018,67.23,330.48,150.21,160.03,197.49,1842,894
01/2019,136.13,333.77,152.23,154.71,208.36,1419,589
02/2019,138.08,334.50,150.38,158.31,193.99,1368,468
03/2019,251.48,329.23,152.91,162.98,246.10,3383,526
04/2019,247.39,324.25,157.29,161.77,212.86,1702,655
05/2019,738.56,305.31,152.75,164.58,103.92,854,770
06/2019,934.81,326.61,149.95,174.50,16.59,1880,838
07/2019,2255.33,325.46,153.12,173.27,29.91,5318,1305
08/2019,1714.31,314.62,154.41,202.52,022.11,30900,1459
09/2019,1453.64,322.45,158.31,196.64,102.66,19925,1513
10/2019,555.27,339.87,163.26,195.44,202.11,7855,1622
11/2019,562.80,332.85,201.16,199.39,176.42,11297,1125
12/2019,189.94,334.94,211.97,196.02,120.20,3275,789
01/2020,284.28,337.07,193.05,218.87,250.88,1200,528
02/2020,185.73,325.42,197.05,227.92,214.48,1196,433
03/2020,326.94,319.33,200.36,262.89,286.90,1641,434
04/2020,407.20,309.99,199.57,296.32,309.03,789,457
05/2020,833.57,309.33,201.21,296.16,121.49,829,595
06/2020,1043.23,318.64,209.87,312.93,7.34,2248,732
